Disease,DOIDId,Symptom,SymptomId,,,Total number of disease
Crohn's disease,DOID:8778,fever ,SYMP:0000613,,,
Crohn's disease,DOID:8778,cramp ,SYMP:0000689,,,
Crohn's disease,DOID:8778,fatigue ,SYMP:0019177,,,
Crohn's disease,DOID:8778,is_a,DOID:0050589,,,
Ureteral obstruction,DOID:5199,pain ,SYMP:0000099,,,
Ureteral obstruction,DOID:5199,blood pressure ,SYMP:0020063,,,
Ureteral obstruction,DOID:5199,high blood pressure ,SYMP:0020064,,,
Ureteral obstruction,DOID:5199,is_a,DOID:1426,,,
Ureteral obstruction,DOID:5199,is_a,DOID:5200,,,
Bladder exstrophy,DOID:0080174,is_a,DOID:0080173,,,
Bladder exstrophy,DOID:0080174,is_a,DOID:365,,,
Bipolar disorder,DOID:3312,depression ,SYMP:0000022,,,
Bipolar disorder,DOID:3312,weight loss ,SYMP:0000178,,,
Bipolar disorder,DOID:3312,weight gain ,SYMP:0000403,,,
Bipolar disorder,DOID:3312,insomnia ,SYMP:0000571,,,
Bipolar disorder,DOID:3312,irritability ,SYMP:0000654,,,
Bipolar disorder,DOID:3312,fatigue ,SYMP:0019177,,,
Bipolar disorder,DOID:3312,agitation ,SYMP:0020006,,,
Bipolar disorder,DOID:3312,is_a,DOID:3324,,,
Bile reflux,DOID:12237,pain ,SYMP:0000099,,,
Bile reflux,DOID:12237,weight loss ,SYMP:0000178,,,
Bile reflux,DOID:12237,abdominal pain ,SYMP:0000457,,,
Bile reflux,DOID:12237,nausea ,SYMP:0000458,,,
Bile reflux,DOID:12237,cough ,SYMP:0000614,,,
Bile reflux,DOID:12237,vomiting ,SYMP:0019145,,,
Bile reflux,DOID:12237,hoarseness ,SYMP:0019181,,,
Bile reflux,DOID:12237,is_a,DOID:9741,,,
Cystitis,DOID:1679,hematuria ,SYMP:0000040,,,
Cystitis,DOID:1679,pain ,SYMP:0000099,,,
Cystitis,DOID:1679,fever ,SYMP:0000613,,,
Cystitis,DOID:1679,low-grade fever ,SYMP:0000879,,,
Cystitis,DOID:1679,is_a,DOID:365,,,
Blepharitis,DOID:9423,blurred vision ,SYMP:0000012,,,
Blepharitis,DOID:9423,is_a,DOID:530,,,
Bell's palsy,DOID:12506,paralysis ,SYMP:0000030,,,
Bell's palsy,DOID:12506,pain ,SYMP:0000099,,,
Bell's palsy,DOID:12506,weakness ,SYMP:0000177,,,
Bell's palsy,DOID:12506,facial paralysis ,SYMP:0000283,,,
Bell's palsy,DOID:12506,headache ,SYMP:0000504,,,
Bell's palsy,DOID:12506,facial weakness ,SYMP:0000706,,,
Bell's palsy,DOID:12506,is_a,DOID:13934,,,
Behcet's disease,DOID:13241,bleeding ,SYMP:0000007,,,
Behcet's disease,DOID:13241,blurred vision ,SYMP:0000012,,,
Behcet's disease,DOID:13241,disorientation ,SYMP:0000023,,,
Behcet's disease,DOID:13241,inflammation ,SYMP:0000061,,,
Behcet's disease,DOID:13241,pain ,SYMP:0000099,,,
Behcet's disease,DOID:13241,mouth sore ,SYMP:0000330,,,
Behcet's disease,DOID:13241,abdominal pain ,SYMP:0000457,,,
Behcet's disease,DOID:13241,headache ,SYMP:0000504,,,
Behcet's disease,DOID:13241,diarrhea ,SYMP:0000570,,,
Behcet's disease,DOID:13241,fever ,SYMP:0000613,,,
Behcet's disease,DOID:13241,is_a,DOID:0060051,,,
Behcet's disease,DOID:13241,is_a,DOID:865,,,
Geographic tongue,DOID:1455,pain ,SYMP:0000099,,,
Geographic tongue,DOID:1455,is_a,DOID:1453,,,
Body dysmorphic disorder,DOID:0060163,repetitive behavior ,SYMP:0019187,,,
Body dysmorphic disorder,DOID:0060163,is_a,DOID:4737,,,
Folliculitis,DOID:4409,blister ,SYMP:0000009,,,
Folliculitis,DOID:4409,inflammation ,SYMP:0000061,,,
Folliculitis,DOID:4409,pain ,SYMP:0000099,,,
Folliculitis,DOID:4409,itching ,SYMP:0000432,,,
Folliculitis,DOID:4409,rash ,SYMP:0000487,,,
Folliculitis,DOID:4409,boil ,SYMP:0019160,,,
Folliculitis,DOID:4409,is_a,DOID:2723,,,
Folliculitis,DOID:4409,is_a,DOID:421,,,
Bacterial vaginosis,DOID:3385,vaginal discharge ,SYMP:0000398,,,
Bacterial vaginosis,DOID:3385,itching ,SYMP:0000432,,,
Bacterial vaginosis,DOID:3385,discharge ,SYMP:0000651,,,
Bacterial vaginosis,DOID:3385,is_a,DOID:104,,,
Bacterial vaginosis,DOID:3385,is_a,DOID:2170,,,
Coronary artery disease,DOID:3393,pain ,SYMP:0000099,,,
Coronary artery disease,DOID:3393,nausea ,SYMP:0000458,,,
Coronary artery disease,DOID:3393,chest pain ,SYMP:0000576,,,
Coronary artery disease,DOID:3393,fatigue ,SYMP:0019177,,,
Coronary artery disease,DOID:3393,is_a,DOID:0050828,,,
Contact dermatitis,DOID:2773,blister ,SYMP:0000009,,,
Contact dermatitis,DOID:2773,rash ,SYMP:0000487,,,
Contact dermatitis,DOID:2773,allergic reaction ,SYMP:0000900,,,
Contact dermatitis,DOID:2773,is_a,DOID:2723,,,
Craniosynostosis,DOID:2340,is_a,DOID:11971,,,
Hirschsprung's disease,DOID:10487,failure to thrive ,SYMP:0000465,,,
Hirschsprung's disease,DOID:10487,diarrhea ,SYMP:0000570,,,
Hirschsprung's disease,DOID:10487,vomiting ,SYMP:0019145,,,
Hirschsprung's disease,DOID:10487,fatigue ,SYMP:0019177,,,
Hirschsprung's disease,DOID:10487,constipation ,SYMP:0019180,,,
Hirschsprung's disease,DOID:10487,is_a,DOID:11372,,,
Kleptomania,DOID:12400,anxiety ,SYMP:0000412,,,
Kleptomania,DOID:12400,is_a,DOID:10937,,,
Congenital adrenal hyperplasia,DOID:0050811,infertility ,SYMP:0000712,,,
Congenital adrenal hyperplasia,DOID:0050811,blood pressure ,SYMP:0020063,,,
Congenital adrenal hyperplasia,DOID:0050811,is_a,DOID:0080015,,,
Congenital adrenal hyperplasia,DOID:0050811,is_a,DOID:1701,,,
Common variable immunodeficiency,DOID:12177,sinusitis ,SYMP:0000134,,,
Common variable immunodeficiency,DOID:12177,is_a,DOID:0050737,,,
Common variable immunodeficiency,DOID:12177,is_a,DOID:2583,,,
Common variable immunodeficiency,DOID:12177,is_a,DOID:417,,,
Complex regional pain syndrome,DOID:3223,pain ,SYMP:0000099,,,
Complex regional pain syndrome,DOID:3223,tremor ,SYMP:0000162,,,
Complex regional pain syndrome,DOID:3223,weakness ,SYMP:0000177,,,
Complex regional pain syndrome,DOID:3223,sweaty ,SYMP:0019175,,,
Complex regional pain syndrome,DOID:3223,is_a,DOID:11465,,,
Pneumothorax,DOID:1673,pain ,SYMP:0000099,,,
Pneumothorax,DOID:1673,chest pain ,SYMP:0000576,,,
Pneumothorax,DOID:1673,is_a,DOID:1532,,,
Color blindness,DOID:13399,blindness ,SYMP:0000008,,,
Color blindness,DOID:13399,confusion ,SYMP:0000016,,,
Color blindness,DOID:13399,is_a,DOID:1432,,,
Microscopic colitis,DOID:0060182,dehydration ,SYMP:0000020,,,
Microscopic colitis,DOID:0060182,pain ,SYMP:0000099,,,
Microscopic colitis,DOID:0060182,weight loss ,SYMP:0000178,,,
Microscopic colitis,DOID:0060182,bloating ,SYMP:0000420,,,
Microscopic colitis,DOID:0060182,abdominal pain ,SYMP:0000457,,,
Microscopic colitis,DOID:0060182,nausea ,SYMP:0000458,,,
Microscopic colitis,DOID:0060182,diarrhea ,SYMP:0000570,,,
Microscopic colitis,DOID:0060182,cramp ,SYMP:0000689,,,
Microscopic colitis,DOID:0060182,is_a,DOID:0060180,,,
Ulcerative colitis,DOID:8577,abdominal cramp ,SYMP:0000001,,,
Ulcerative colitis,DOID:8577,bleeding ,SYMP:0000007,,,
Ulcerative colitis,DOID:8577,inflammation ,SYMP:0000061,,,
Ulcerative colitis,DOID:8577,pain ,SYMP:0000099,,,
Ulcerative colitis,DOID:8577,weight loss ,SYMP:0000178,,,
Ulcerative colitis,DOID:8577,abdominal pain ,SYMP:0000457,,,
Ulcerative colitis,DOID:8577,diarrhea ,SYMP:0000570,,,
Ulcerative colitis,DOID:8577,fever ,SYMP:0000613,,,
Ulcerative colitis,DOID:8577,tenesmus ,SYMP:0000648,,,
Ulcerative colitis,DOID:8577,cramp ,SYMP:0000689,,,
Ulcerative colitis,DOID:8577,fatigue ,SYMP:0019177,,,
Ulcerative colitis,DOID:8577,bloody diarrhea ,SYMP:0020011,,,
Ulcerative colitis,DOID:8577,is_a,DOID:0060031,,,
Ulcerative colitis,DOID:8577,is_a,DOID:0060180,,,
Mitral valve prolapse,DOID:988,arrhythmia ,SYMP:0000287,,,
Mitral valve prolapse,DOID:988,dizziness ,SYMP:0000610,,,
Mitral valve prolapse,DOID:988,fatigue ,SYMP:0019177,,,
Mitral valve prolapse,DOID:988,lightheadedness ,SYMP:0019179,,,
Mitral valve prolapse,DOID:988,is_a,DOID:61,,,
Common cold,DOID:10459,sneezing ,SYMP:0000139,,,
Common cold,DOID:10459,body ache ,SYMP:0000230,,,
Common cold,DOID:10459,headache ,SYMP:0000504,,,
Common cold,DOID:10459,fever ,SYMP:0000613,,,
Common cold,DOID:10459,cough ,SYMP:0000614,,,
Common cold,DOID:10459,low-grade fever ,SYMP:0000879,,,
Common cold,DOID:10459,is_a,DOID:974,,,
Clubfoot,DOID:11836,pain ,SYMP:0000099,,,
Clubfoot,DOID:11836,is_a,DOID:0080006,,,
Creutzfeldt-Jakob disease,DOID:11949,blindness ,SYMP:0000008,,,
Creutzfeldt-Jakob disease,DOID:11949,memory loss ,SYMP:0000543,,,
Creutzfeldt-Jakob disease,DOID:11949,insomnia ,SYMP:0000571,,,
Creutzfeldt-Jakob disease,DOID:11949,is_a,DOID:649,,,
Chronic traumatic encephalopathy,DOID:0081291,depression ,SYMP:0000022,,,
Chronic traumatic encephalopathy,DOID:0081291,anxiety ,SYMP:0000412,,,
Chronic traumatic encephalopathy,DOID:0081291,memory loss ,SYMP:0000543,,,
Chronic traumatic encephalopathy,DOID:0081291,is_a,DOID:680,,,
Chronic granulomatous disease,DOID:3265,pain ,SYMP:0000099,,,
Chronic granulomatous disease,DOID:3265,bloody stool ,SYMP:0000229,,,
Chronic granulomatous disease,DOID:3265,rash ,SYMP:0000487,,,
Chronic granulomatous disease,DOID:3265,diarrhea ,SYMP:0000570,,,
Chronic granulomatous disease,DOID:3265,chest pain ,SYMP:0000576,,,
Chronic granulomatous disease,DOID:3265,fever ,SYMP:0000613,,,
Chronic granulomatous disease,DOID:3265,vomiting ,SYMP:0019145,,,
Chronic granulomatous disease,DOID:3265,is_a,DOID:3262,,,
Chronic kidney disease,DOID:784,muscle cramp ,SYMP:0000093,,,
Chronic kidney disease,DOID:784,pain ,SYMP:0000099,,,
Chronic kidney disease,DOID:784,weakness ,SYMP:0000177,,,
Chronic kidney disease,DOID:784,loss of appetite ,SYMP:0000309,,,
Chronic kidney disease,DOID:784,nausea ,SYMP:0000458,,,
Chronic kidney disease,DOID:784,chest pain ,SYMP:0000576,,,
Chronic kidney disease,DOID:784,cramp ,SYMP:0000689,,,
Chronic kidney disease,DOID:784,vomiting ,SYMP:0019145,,,
Chronic kidney disease,DOID:784,fatigue ,SYMP:0019177,,,
Chronic kidney disease,DOID:784,blood pressure ,SYMP:0020063,,,
Chronic kidney disease,DOID:784,high blood pressure ,SYMP:0020064,,,
Chronic kidney disease,DOID:784,is_a,DOID:1074,,,
Chondrosarcoma,DOID:3371,pain ,SYMP:0000099,,,
Chondrosarcoma,DOID:3371,weakness ,SYMP:0000177,,,
Chondrosarcoma,DOID:3371,coma ,SYMP:0000605,,,
Chondrosarcoma,DOID:3371,is_a,DOID:0080639,,,
Huntington's disease,DOID:12858,depression ,SYMP:0000022,,,
Huntington's disease,DOID:12858,seizure ,SYMP:0000124,,,
Huntington's disease,DOID:12858,tremor ,SYMP:0000162,,,
Huntington's disease,DOID:12858,weight loss ,SYMP:0000178,,,
Huntington's disease,DOID:12858,insomnia ,SYMP:0000571,,,
Huntington's disease,DOID:12858,irritability ,SYMP:0000654,,,
Huntington's disease,DOID:12858,fatigue ,SYMP:0019177,,,
Huntington's disease,DOID:12858,repetitive behavior ,SYMP:0019187,,,
Huntington's disease,DOID:12858,contracture ,SYMP:0020039,,,
Huntington's disease,DOID:12858,is_a,DOID:1289,,,
Cholera,DOID:1498,dehydration ,SYMP:0000020,,,
Cholera,DOID:1498,muscle cramp ,SYMP:0000093,,,
Cholera,DOID:1498,thirst ,SYMP:0000156,,,
Cholera,DOID:1498,dry mouth ,SYMP:0000260,,,
Cholera,DOID:1498,shock ,SYMP:0000450,,,
Cholera,DOID:1498,nausea ,SYMP:0000458,,,
Cholera,DOID:1498,diarrhea ,SYMP:0000570,,,
Cholera,DOID:1498,irritability ,SYMP:0000654,,,
Cholera,DOID:1498,cramp ,SYMP:0000689,,,
Cholera,DOID:1498,low blood pressure ,SYMP:0000692,,,
Cholera,DOID:1498,vomiting ,SYMP:0019145,,,
Cholera,DOID:1498,fatigue ,SYMP:0019177,,,
Cholera,DOID:1498,blood pressure ,SYMP:0020063,,,
Cholera,DOID:1498,is_a,DOID:0050338,,,
Primary sclerosing cholangitis,DOID:0060643,pain ,SYMP:0000099,,,
Primary sclerosing cholangitis,DOID:0060643,weight loss ,SYMP:0000178,,,
Primary sclerosing cholangitis,DOID:0060643,night sweats ,SYMP:0000337,,,
Primary sclerosing cholangitis,DOID:0060643,itching ,SYMP:0000432,,,
Primary sclerosing cholangitis,DOID:0060643,abdominal pain ,SYMP:0000457,,,
Primary sclerosing cholangitis,DOID:0060643,jaundice ,SYMP:0000539,,,
Primary sclerosing cholangitis,DOID:0060643,fever ,SYMP:0000613,,,
Primary sclerosing cholangitis,DOID:0060643,chills ,SYMP:0019174,,,
Primary sclerosing cholangitis,DOID:0060643,fatigue ,SYMP:0019177,,,
Primary sclerosing cholangitis,DOID:0060643,is_a,DOID:14268,,,
Chickenpox,DOID:8659,nausea ,SYMP:0000458,,,
Chickenpox,DOID:8659,headache ,SYMP:0000504,,,
Chickenpox,DOID:8659,blisters ,SYMP:0000009,,,
Chickenpox,DOID:8659,rash ,SYMP:0000487,,,
Chickenpox,DOID:8659,tiredness ,SYMP:0000187,,,
Chickenpox,DOID:8659,blister ,SYMP:0000009,,,
Chickenpox,DOID:8659,papule ,SYMP:0000346,,,
Chickenpox,DOID:8659,fever ,SYMP:0000613,,,
Chickenpox,DOID:8659,loss of appetite ,SYMP:0000309,,,
Chickenpox,DOID:8659,is_a,DOID:934,,,
Charcot-Marie-Tooth disease,DOID:10595,weakness ,SYMP:0000177,,,
Charcot-Marie-Tooth disease,DOID:10595,is_a,DOID:440,,,
Chagas disease,DOID:12140,pain ,SYMP:0000099,,,
Chagas disease,DOID:12140,body ache ,SYMP:0000230,,,
Chagas disease,DOID:12140,heart failure ,SYMP:0000292,,,
Chagas disease,DOID:12140,loss of appetite ,SYMP:0000309,,,
Chagas disease,DOID:12140,nausea ,SYMP:0000458,,,
Chagas disease,DOID:12140,rash ,SYMP:0000487,,,
Chagas disease,DOID:12140,headache ,SYMP:0000504,,,
Chagas disease,DOID:12140,diarrhea ,SYMP:0000570,,,
Chagas disease,DOID:12140,fever ,SYMP:0000613,,,
Chagas disease,DOID:12140,vomiting ,SYMP:0019145,,,
Chagas disease,DOID:12140,fatigue ,SYMP:0019177,,,
Chagas disease,DOID:12140,constipation ,SYMP:0019180,,,
Chagas disease,DOID:12140,is_a,DOID:10113,,,
Cerebral palsy,DOID:1969,ataxia ,SYMP:0000005,,,
Cerebral palsy,DOID:1969,coordination symptom ,SYMP:0000079,,,
Cerebral palsy,DOID:1969,pain ,SYMP:0000099,,,
Cerebral palsy,DOID:1969,seizure ,SYMP:0000124,,,
Cerebral palsy,DOID:1969,spasticity ,SYMP:0000141,,,
Cerebral palsy,DOID:1969,tremor ,SYMP:0000162,,,
Cerebral palsy,DOID:1969,urinary incontinence ,SYMP:0000492,,,
Cerebral palsy,DOID:1969,general symptom ,SYMP:0000567,,,
Cerebral palsy,DOID:1969,constipation ,SYMP:0019180,,,
Cerebral palsy,DOID:1969,is_a,DOID:936,,,
Central sleep apnea,DOID:9220,headache ,SYMP:0000504,,,
Central sleep apnea,DOID:9220,insomnia ,SYMP:0000571,,,
Central sleep apnea,DOID:9220,sleep apnea ,SYMP:0000581,,,
Central sleep apnea,DOID:9220,hypersomnia ,SYMP:0000582,,,
Central sleep apnea,DOID:9220,apnea ,SYMP:0000600,,,
Central sleep apnea,DOID:9220,is_a,DOID:0050847,,,
Cellulitis,DOID:3488,cellulitis ,SYMP:0000000,,,
Cellulitis,DOID:3488,blister ,SYMP:0000009,,,
Cellulitis,DOID:3488,pain ,SYMP:0000099,,,
Cellulitis,DOID:3488,fever ,SYMP:0000613,,,
Cellulitis,DOID:3488,chills ,SYMP:0019174,,,
Cellulitis,DOID:3488,is_a,DOID:37,,,
Cellulitis,DOID:3488,is_a,DOID:65,,,
Cervicitis,DOID:2568,bleeding ,SYMP:0000007,,,
Cervicitis,DOID:2568,inflammation ,SYMP:0000061,,,
Cervicitis,DOID:2568,pain ,SYMP:0000099,,,
Cervicitis,DOID:2568,vaginal discharge ,SYMP:0000398,,,
Cervicitis,DOID:2568,discharge ,SYMP:0000651,,,
Cervicitis,DOID:2568,is_a,DOID:2253,,,
Cervical dystonia,DOID:0050840,pain ,SYMP:0000099,,,
Cervical dystonia,DOID:0050840,headache ,SYMP:0000504,,,
Cervical dystonia,DOID:0050840,neck pain ,SYMP:0000829,,,
Cervical dystonia,DOID:0050840,is_a,DOID:0050836,,,
Barrett's esophagus,DOID:9206,pain ,SYMP:0000099,,,
Barrett's esophagus,DOID:9206,chest pain ,SYMP:0000576,,,
Barrett's esophagus,DOID:9206,is_a,DOID:6050,,,
Celiac disease,DOID:10608,pain ,SYMP:0000099,,,
Celiac disease,DOID:10608,diarrhea ,SYMP:0000570,,,
Celiac disease,DOID:10608,irritability ,SYMP:0000654,,,
Celiac disease,DOID:10608,vomiting ,SYMP:0019145,,,
Celiac disease,DOID:10608,hyperactivity ,SYMP:0019183,,,
Celiac disease,DOID:10608,nausea ,SYMP:0000458,,,
Celiac disease,DOID:10608,failure to thrive ,SYMP:0000465,,,
Celiac disease,DOID:10608,blister ,SYMP:0000009,,,
Celiac disease,DOID:10608,abdominal pain ,SYMP:0000457,,,
Celiac disease,DOID:10608,anemia ,SYMP:0000208,,,
Celiac disease,DOID:10608,constipation ,SYMP:0019180,,,
Celiac disease,DOID:10608,headache ,SYMP:0000504,,,
Celiac disease,DOID:10608,bloating ,SYMP:0000420,,,
Celiac disease,DOID:10608,rash ,SYMP:0000487,,,
Celiac disease,DOID:10608,seizure ,SYMP:0000124,,,
Celiac disease,DOID:10608,weight loss ,SYMP:0000178,,,
Celiac disease,DOID:10608,loss of appetite ,SYMP:0000309,,,
Celiac disease,DOID:10608,short stature ,SYMP:0000568,,,
Celiac disease,DOID:10608,joint pain ,SYMP:0000064,,,
Celiac disease,DOID:10608,fatigue ,SYMP:0019177,,,
Celiac disease,DOID:10608,is_a,DOID:0060031,,,
Carpal tunnel syndrome,DOID:12169,weakness ,SYMP:0000177,,,
Carpal tunnel syndrome,DOID:12169,shock ,SYMP:0000450,,,
Carpal tunnel syndrome,DOID:12169,is_a,DOID:573,,,
Cardiomyopathy,DOID:0050700,bloating ,SYMP:0000420,,,
Cardiomyopathy,DOID:0050700,dizziness ,SYMP:0000610,,,
Cardiomyopathy,DOID:0050700,cough ,SYMP:0000614,,,
Cardiomyopathy,DOID:0050700,fatigue ,SYMP:0019177,,,
Cardiomyopathy,DOID:0050700,lightheadedness ,SYMP:0019179,,,
Cardiomyopathy,DOID:0050700,chest discomfort ,SYMP:0020031,,,
Cardiomyopathy,DOID:0050700,is_a,DOID:114,,,
Hypertrophic cardiomyopathy,DOID:11984,pain ,SYMP:0000099,,,
Hypertrophic cardiomyopathy,DOID:11984,palpitation ,SYMP:0000530,,,
Hypertrophic cardiomyopathy,DOID:11984,chest pain ,SYMP:0000576,,,
Hypertrophic cardiomyopathy,DOID:11984,is_a,DOID:0060036,,,
Carotid artery disease,DOID:3407,severe headache ,SYMP:0000130,,,
Carotid artery disease,DOID:3407,weakness ,SYMP:0000177,,,
Carotid artery disease,DOID:3407,loss of balance ,SYMP:0000318,,,
Carotid artery disease,DOID:3407,headache ,SYMP:0000504,,,
Carotid artery disease,DOID:3407,dizziness ,SYMP:0000610,,,
Carotid artery disease,DOID:3407,is_a,DOID:0050828,,,
Carotid artery disease,DOID:3407,is_a,DOID:6713,,,
Vaginal cancer,DOID:119,bleeding ,SYMP:0000007,,,
Vaginal cancer,DOID:119,pain ,SYMP:0000099,,,
Vaginal cancer,DOID:119,vaginal discharge ,SYMP:0000398,,,
Vaginal cancer,DOID:119,discharge ,SYMP:0000651,,,
Vaginal cancer,DOID:119,constipation ,SYMP:0019180,,,
Vaginal cancer,DOID:119,is_a,DOID:120,,,
Vaginal cancer,DOID:119,is_a,DOID:121,,,
Heart disease,DOID:114,pain ,SYMP:0000099,,,
Heart disease,DOID:114,weakness ,SYMP:0000177,,,
Heart disease,DOID:114,bradycardia ,SYMP:0000231,,,
Heart disease,DOID:114,endocarditis ,SYMP:0000262,,,
Heart disease,DOID:114,extreme fatigue ,SYMP:0000280,,,
Heart disease,DOID:114,arrhythmia ,SYMP:0000287,,,
Heart disease,DOID:114,heart failure ,SYMP:0000292,,,
Heart disease,DOID:114,weight gain ,SYMP:0000403,,,
Heart disease,DOID:114,syncope ,SYMP:0000407,,,
Heart disease,DOID:114,nausea ,SYMP:0000458,,,
Heart disease,DOID:114,rash ,SYMP:0000487,,,
Heart disease,DOID:114,tachycardia ,SYMP:0000529,,,
Heart disease,DOID:114,cyanosis ,SYMP:0000537,,,
Heart disease,DOID:114,chest pain ,SYMP:0000576,,,
Heart disease,DOID:114,dizziness ,SYMP:0000610,,,
Heart disease,DOID:114,fever ,SYMP:0000613,,,
Heart disease,DOID:114,cough ,SYMP:0000614,,,
Heart disease,DOID:114,fatigue ,SYMP:0019177,,,
Heart disease,DOID:114,lightheadedness ,SYMP:0019179,,,
Heart disease,DOID:114,overweight ,SYMP:0020018,,,
Heart disease,DOID:114,chest discomfort ,SYMP:0020031,,,
Heart disease,DOID:114,chest tightness ,SYMP:0020032,,,
Heart disease,DOID:114,blood pressure ,SYMP:0020063,,,
Heart disease,DOID:114,high blood pressure ,SYMP:0020064,,,
Heart disease,DOID:114,is_a,DOID:1287,,,
Dilated cardiomyopathy,DOID:12930,pain ,SYMP:0000099,,,
Dilated cardiomyopathy,DOID:12930,palpitation ,SYMP:0000530,,,
Dilated cardiomyopathy,DOID:12930,edema ,SYMP:0000538,,,
Dilated cardiomyopathy,DOID:12930,chest pain ,SYMP:0000576,,,
Dilated cardiomyopathy,DOID:12930,dyspnea ,SYMP:0019153,,,
Dilated cardiomyopathy,DOID:12930,fatigue ,SYMP:0019177,,,
Dilated cardiomyopathy,DOID:12930,is_a,DOID:0060036,,,
Thyroid cancer,DOID:1781,pain ,SYMP:0000099,,,
Thyroid cancer,DOID:1781,hoarseness ,SYMP:0019181,,,
Thyroid cancer,DOID:1781,is_a,DOID:170,,,
Thyroid cancer,DOID:1781,is_a,DOID:50,,,
Testicular cancer,DOID:2998,pain ,SYMP:0000099,,,
Testicular cancer,DOID:2998,is_a,DOID:2519,,,
Testicular cancer,DOID:2998,is_a,DOID:3856,,,
Prostate cancer,DOID:10283,pain ,SYMP:0000099,,,
Prostate cancer,DOID:10283,bone pain ,SYMP:0020023,,,
Prostate cancer,DOID:10283,is_a,DOID:3856,,,
Prostate cancer,DOID:10283,is_a,DOID:47,,,
Skin cancer,DOID:4159,bleeding ,SYMP:0000007,,,
Skin cancer,DOID:4159,pain ,SYMP:0000099,,,
Skin cancer,DOID:4159,coma ,SYMP:0000605,,,
Skin cancer,DOID:4159,is_a,DOID:0060122,,,
Skin cancer,DOID:4159,is_a,DOID:37,,,
Pancreatic cancer,DOID:1793,pain ,SYMP:0000099,,,
Pancreatic cancer,DOID:1793,weakness ,SYMP:0000177,,,
Pancreatic cancer,DOID:1793,weight loss ,SYMP:0000178,,,
Pancreatic cancer,DOID:1793,tiredness ,SYMP:0000187,,,
Pancreatic cancer,DOID:1793,loss of appetite ,SYMP:0000309,,,
Pancreatic cancer,DOID:1793,itching ,SYMP:0000432,,,
Pancreatic cancer,DOID:1793,jaundice ,SYMP:0000539,,,
Pancreatic cancer,DOID:1793,is_a,DOID:170,,,
Pancreatic cancer,DOID:1793,is_a,DOID:26,,,
Retinoblastoma,DOID:768,is_a,DOID:771,,,
Ovarian cancer,DOID:2394,pain ,SYMP:0000099,,,
Ovarian cancer,DOID:2394,weight loss ,SYMP:0000178,,,
Ovarian cancer,DOID:2394,bloating ,SYMP:0000420,,,
Ovarian cancer,DOID:2394,fatigue ,SYMP:0019177,,,
Ovarian cancer,DOID:2394,constipation ,SYMP:0019180,,,
Ovarian cancer,DOID:2394,is_a,DOID:1100,,,
Ovarian cancer,DOID:2394,is_a,DOID:120,,,
Neuroblastoma,DOID:769,pain ,SYMP:0000099,,,
Neuroblastoma,DOID:769,weight loss ,SYMP:0000178,,,
Neuroblastoma,DOID:769,ptosis ,SYMP:0000369,,,
Neuroblastoma,DOID:769,bruise ,SYMP:0000406,,,
Neuroblastoma,DOID:769,abdominal pain ,SYMP:0000457,,,
Neuroblastoma,DOID:769,diarrhea ,SYMP:0000570,,,
Neuroblastoma,DOID:769,chest pain ,SYMP:0000576,,,
Neuroblastoma,DOID:769,wheezing ,SYMP:0000604,,,
Neuroblastoma,DOID:769,fever ,SYMP:0000613,,,
Neuroblastoma,DOID:769,constipation ,SYMP:0019180,,,
Neuroblastoma,DOID:769,bone pain ,SYMP:0020023,,,
Neuroblastoma,DOID:769,is_a,DOID:2621,,,
Merkel cell carcinoma,DOID:3965,pain ,SYMP:0000099,,,
Merkel cell carcinoma,DOID:3965,is_a,DOID:3451,,,
Lung cancer,DOID:1324,pain ,SYMP:0000099,,,
Lung cancer,DOID:1324,headache ,SYMP:0000504,,,
Lung cancer,DOID:1324,chest pain ,SYMP:0000576,,,
Lung cancer,DOID:1324,cough ,SYMP:0000614,,,
Lung cancer,DOID:1324,hoarseness ,SYMP:0019181,,,
Lung cancer,DOID:1324,bone pain ,SYMP:0020023,,,
Lung cancer,DOID:1324,is_a,DOID:0050615,,,
Lung cancer,DOID:1324,is_a,DOID:850,,,
Multiple myeloma,DOID:9538,confusion ,SYMP:0000016,,,
Multiple myeloma,DOID:9538,pain ,SYMP:0000099,,,
Multiple myeloma,DOID:9538,thirst ,SYMP:0000156,,,
Multiple myeloma,DOID:9538,weakness ,SYMP:0000177,,,
Multiple myeloma,DOID:9538,weight loss ,SYMP:0000178,,,
Multiple myeloma,DOID:9538,tiredness ,SYMP:0000187,,,
Multiple myeloma,DOID:9538,loss of appetite ,SYMP:0000309,,,
Multiple myeloma,DOID:9538,nausea ,SYMP:0000458,,,
Multiple myeloma,DOID:9538,constipation ,SYMP:0019180,,,
Multiple myeloma,DOID:9538,bone pain ,SYMP:0020023,,,
Multiple myeloma,DOID:9538,is_a,DOID:0070004,,,
Multiple myeloma,DOID:9538,is_a,DOID:9500,,,
Male breast cancer,DOID:1614,bleeding ,SYMP:0000007,,,
Male breast cancer,DOID:1614,pain ,SYMP:0000099,,,
Male breast cancer,DOID:1614,discharge ,SYMP:0000651,,,
Male breast cancer,DOID:1614,is_a,DOID:1612,,,
Hairy cell leukemia,DOID:285,weakness ,SYMP:0000177,,,
Hairy cell leukemia,DOID:285,fatigue ,SYMP:0019177,,,
Hairy cell leukemia,DOID:285,is_a,DOID:1040,,,
Liver cancer,DOID:3571,pain ,SYMP:0000099,,,
